Id,Date,Total Purchase,Location,Day of the Month,Week of the Month,Day of the Week,Month,Year
210,12/21/2025,$15.46,Virginia Kitchen,21,3,Sunday,December,2025
211,12/15/2025,$15.89,Taco Bell,15,3,Monday,December,2025
212,12/14/2025,$16.91,Bon Me Shack,14,2,Sunday,December,2025
213,12/14/2025,$13.04,Chipotle,14,2,Sunday,December,2025
214,12/13/2025,$7.00,Wintermarkt,13,2,Saturday,December,2025
215,12/13/2025,$24.57,Anitas,13,2,Saturday,December,2025
216,12/13/2025,$11.71,The Human Bean,13,2,Saturday,December,2025
217,12/7/2025,$44.64,Pisco y Nazca,07,1,Sunday,December,2025
218,12/7/2025,$15.36,Weird Bros,07,1,Sunday,December,2025
219,12/6/2025,$7.93,Regal,06,1,Saturday,December,2025
220,12/6/2025,$28.71,Popeyes,06,1,Saturday,December,2025
221,12/5/2025,$11.78,Wawa,05,1,Friday,December,2025
222,12/5/2025,$6.35,Little Ceasers,05,1,Friday,December,2025
223,12/3/2025,$8.86,Wawa,03,1,Wednesday,December,2025
224,12/1/2025,$11.82,The Human Bean,01,1,Monday,December,2025
225,11/28/2025,$47.00,Virginia Kitchen,28,4,Friday,November,2025
226,11/26/2025,$30.00,WooBois,26,4,Wednesday,November,2025
227,11/25/2025,$8.40,Taco Bell,25,4,Tuesday,November,2025
228,11/23/2025,$12.70,Little Ceasars,23,4,Sunday,November,2025
229,11/22/2025,$7.68,Dunkin,22,4,Saturday,November,2025
230,11/21/2025,$6.78,The Human Bean,21,3,Friday,November,2025
231,11/21/2025,$7.93,Regal,21,3,Friday,November,2025
232,11/20/2025,$2.90,Taco Bell,20,3,Thursday,November,2025
233,11/16/2025,$3.02,7-Eleven,16,3,Sunday,November,2025
234,11/16/2025,$11.54,Subway,16,3,Sunday,November,2025
235,11/15/2025,$7.25,Wawa,15,3,Saturday,November,2025
236,11/13/2025,$6.04,The Human Bean,13,2,Thursday,November,2025
237,11/11/2025,$6.25,The Human Bean,11,2,Tuesday,November,2025
238,11/9/2025,$3.63,Wawa,09,2,Sunday,November,2025
239,11/8/2025,$21.59,Jinya Ramen,08,2,Saturday,November,2025
240,11/7/2025,$6.04,The Human Bean,07,1,Friday,November,2025
241,11/7/2025,$11.69,Panera,07,1,Friday,November,2025
242,11/7/2025,$5.49,Taco Bell,07,1,Friday,November,2025
243,11/7/2025,$18.61,Commonwealth Brewing,07,1,Friday,November,2025
244,11/2/2025,$26.13,Henway Hard Cider,02,1,Sunday,November,2025
245,11/2/2025,$6.89,Dirt Farm Brewing,02,1,Sunday,November,2025
246,11/2/2025,$8.32,Bear Chase,02,1,Sunday,November,2025
247,10/29/2025,$19.59,Little Caesars,29,5,Wednesday,October,2025
248,10/25/2025,$6.04,The Human Bean,25,4,Saturday,October,2025
249,10/25/2025,$23.06,Little Washington Wine,25,4,Saturday,October,2025
250,10/24/2025,$14.39,AMC,24,4,Friday,October,2025
251,10/24/2025,$20.52,Panera,24,4,Friday,October,2025
252,10/24/2025,$5.78,The Human Bean,24,4,Friday,October,2025
253,10/22/2025,$40.32,Bento House,22,4,Wednesday,October,2025
254,10/22/2025,$10.50,Human Bean,22,4,Wednesday,October,2025
255,10/18/2025,$5.50,Vending,18,3,Saturday,October,2025
256,10/18/2025,$7.14,King's Dominion,18,3,Saturday,October,2025
257,10/18/2025,$4.38,Taco Bell,18,3,Saturday,October,2025
258,10/17/2025,$10.23,Panera,17,3,Friday,October,2025
259,10/17/2025,$4.00,Petsmart,17,3,Friday,October,2025
260,10/15/2025,$17.04,AMC,15,3,Wednesday,October,2025
261,10/14/2025,$1.89,Weird Bros,14,2,Tuesday,October,2025
262,10/13/2025,$19.39,Yu Noodles,13,2,Monday,October,2025
263,10/12/2025,$30.43,Pizza Twist,12,2,Sunday,October,2025
